MARKET,BBG,ID_BB_GLOBAL,QT_SPEC,CALENDAR_CODE
NOKGBP,NOKGBP BGN Curncy,BBG0013HP6B3,4,GB
NOKUSD,NOKUSD BGN Curncy,BBG0013J45L3,4,FD
NPRUSD,NPRUSD BGN Curncy,BBG0013HZF77,4,FD
NZDAUD,NZDAUD BGN Curncy,BBG0013HJ4K5,4,AU
NZDCAD,NZDCAD BGN Curncy,BBG0013HJHK6,4,CA
NZDEUR,NZDEUR BGN Curncy,BBG0013HQWS7,4,TE
NZDGBP,NZDGBP BGN Curncy,BBG0013HKTT9,4,GB
PENUSD,PENUSD BGN Curncy,BBG0013HNT98,6,FD
PHPUSD,PHPUSD BGN Curncy,BBG0013HNSK7,6,FD
PLNAUD,PLNAUD BGN Curncy,BBG0013HY302,5,AU
PLNCAD,PLNCAD BGN Curncy,BBG0013HV2Y0,4,CA
PLNEUR,PLNEUR BGN Curncy,BBG0013HM127,5,TE
PLNGBP,PLNGBP BGN Curncy,BBG0013HP6Q7,4,GB
PLNJPY,PLNJPY BGN Curncy,BBG0013HY437,4,JN
PLNUSD,PLNUSD BGN Curncy,BBG0013HSY10,4,FD
QARUSD,QARUSD BGN Curncy,BBG0013HSH99,4,FD
RONEUR,RONEUR BGN Curncy,BBG0013HNN73,4,TE
RONUSD,RONUSD BGN Curncy,BBG0013HNMK0,4,FD
RUBAUD,RUBAUD BGN Curncy,BBG0013HHWL4,6,AU
RUBCAD,RUBCAD BGN Curncy,BBG0013HLGK5,4,CA
RUBEUR,RUBEUR BGN Curncy,BBG0013HQX23,4,TE
RUBGBP,RUBGBP BGN Curncy,BBG0013HVRG5,6,GB
RUBJPY,RUBJPY BGN Curncy,BBG0013HYQ92,4,JN
RUBUSD,RUBUSD BGN Curncy,BBG0013HSHP1,5,FD
SARUSD,SARUSD BGN Curncy,BBG0013HSJ68,4,FD
SEKAUD,SEKAUD BGN Curncy,BBG0013HMBC4,4,AU
SEKCAD,SEKCAD BGN Curncy,BBG0013HTSN8,4,CA
SEKEUR,SEKEUR BGN Curncy,BBG0013HQ622,5,TE
SEKGBP,SEKGBP BGN Curncy,BBG0013HKP80,4,GB
SEKUSD,SEKUSD BGN Curncy,BBG0013HS345,6,FD
SGDAUD,SGDAUD BGN Curncy,BBG0013HM369,4,AU
SGDCAD,SGDCAD BGN Curncy,BBG0013HRHH1,4,CA
SGDEUR,SGDEUR BGN Curncy,BBG0013HQQF4,4,TE
SGDGBP,SGDGBP BGN Curncy,BBG0013HP785,4,GB
